Algorithm: FastMap
Target dimensions: 3
Pivots per dimension:
Dim 1: 2908 4567
Dim 2: 2040 4909
Dim 3: 4672 4180
Object coordinates:
173: 38.257320 127.148247 77.717592
174: 54.762063 129.264477 62.533769
175: 61.350063 107.958100 111.070055
176: 94.254987 108.996301 86.877127
177: 82.298493 77.478770 90.232944
178: 83.127895 117.545243 55.562278
179: 137.602917 152.163466 128.540361
180: 119.262811 42.065725 96.421118
181: 72.822155 94.351506 125.394590
182: 84.298394 49.136063 141.098702
183: 76.987952 52.598780 105.730222
184: 56.781373 78.046291 86.335294
185: 140.556388 90.430569 128.933202
186: 65.365713 138.326142 72.321805
187: 82.837487 111.114766 80.885706
188: 103.969115 103.097044 135.272484
189: 65.182962 83.140300 78.217953
190: 154.097539 69.612727 91.026629
191: 87.916843 99.038461 124.966393
192: 69.363742 122.638293 117.235760
193: 36.513286 125.338352 76.715338
194: 74.987634 60.611172 116.948209
195: 53.463827 121.605488 89.585677
196: 94.011567 108.887262 109.569821
197: 65.787052 121.955372 131.114225
198: 83.246529 87.157166 88.304589
199: 126.852731 90.044866 134.202621
200: 51.626705 112.178445 110.108725
201: 78.161177 46.050751 126.141683
202: 103.331118 155.196051 95.152938
203: 62.147852 66.751439 109.329154
204: 99.187443 82.053806 64.724934
205: 100.358466 61.777107 51.432242
206: 59.914301 46.053225 121.435997
207: 128.117480 109.102275 88.958577
208: 86.356208 85.484061 74.883368
209: 45.991810 84.155067 118.009841
210: 74.808589 122.660036 119.110134
211: 76.254342 76.422075 88.393748
212: 84.998442 35.840022 81.125556
213: 152.091442 113.564165 112.731363
214: 112.964869 85.689994 92.361908
215: 116.172911 86.022294 90.129423
216: 91.537289 87.334981 75.433974
217: 98.178383 66.395457 104.286178
218: 71.140072 81.940840 123.876845
219: 88.732241 130.153431 41.035919
220: 72.468548 148.417464 65.909353
221: 105.142897 124.625973 37.772860
222: 78.272374 105.886003 72.421978
223: 59.080834 82.515161 99.029473
224: 110.233172 29.854735 68.016678
225: 118.877390 100.239392 93.060792
226: 111.822714 87.571338 28.867492
227: 100.492339 74.726985 18.190867
228: 61.708292 107.131299 86.107499
229: 98.137574 76.795287 65.490423
230: 127.137975 62.342838 73.482156
231: 102.154829 143.040377 86.403900
232: 126.621095 99.375532 83.271632
233: 100.451437 81.814307 77.096449
234: 119.780841 58.923734 97.787460
235: 108.714654 58.179166 87.173734
236: 75.981242 141.737688 85.799594
237: 91.503940 78.134908 29.487392
238: 76.451721 157.949329 111.163974
239: 104.937320 84.214677 68.580497
240: 48.522100 99.293773 80.651286
241: 63.385412 122.801451 134.980814
242: 79.174307 99.479362 98.565478
243: 96.862139 105.188464 100.162250
244: 25.707702 81.775052 107.403041
245: 126.111484 126.687531 105.317555
246: 81.959279 105.616557 102.952608
247: 124.163804 70.046502 101.922500
248: 44.621558 88.116876 111.349745
249: 116.743742 104.440082 63.900709
250: 82.618268 94.285698 98.671025
251: 85.748993 135.738926 87.501429
252: 57.201722 94.991050 70.586281
253: 137.226181 87.429653 120.709838
254: 53.796428 72.753598 76.292814
255: 54.913981 94.609313 74.339463
256: 135.036674 86.061669 109.073554
257: 98.244827 137.042369 72.930029
258: 57.925914 111.430947 105.344764
259: 166.395505 101.314518 93.962792
260: 145.585248 100.067667 94.882917
261: 106.961760 83.891593 136.727142
262: 104.149426 119.230475 67.907583
263: 83.345111 124.085304 75.152082
264: 61.457580 162.955567 90.200379
265: 99.196227 123.346137 41.411462
266: 73.837420 85.537368 50.446342
267: 38.295405 94.757970 51.501769
268: 102.413773 105.630828 108.086196
269: 114.216979 95.653661 58.325651
270: 64.390988 67.675975 74.381478
271: 139.182048 108.440061 101.080133
272: 100.131330 46.837926 99.721598
273: 102.115280 110.503786 112.296774
274: 71.824484 153.345348 95.709468
275: 110.013944 31.262751 73.638194
276: 91.627579 100.011151 52.018248
277: 103.390328 89.649617 127.971811
278: 139.344709 84.557324 87.512608
279: 125.614413 58.706311 49.444935
280: 79.576492 117.636074 106.491417
281: 80.193158 169.956484 102.589406
282: 71.007238 114.726394 55.006471
283: 60.722090 122.281768 100.102643
284: 101.949112 72.725383 101.682596
285: 84.850143 122.132570 74.507904
286: 47.577988 60.901665 89.122088
287: 107.382686 103.244954 59.312322
288: 12.230457 117.508096 109.620020
289: 52.028349 88.759827 134.206265
290: 52.127154 110.742087 66.986034
291: 82.011416 44.781049 35.858546
292: 116.405390 109.126724 79.601579
293: 60.759767 61.074977 122.980771
294: 79.230969 97.053810 112.845495
295: 63.815377 108.278393 102.574125
296: 66.012846 77.344552 38.245884
297: 88.945027 130.718915 33.717316
298: 70.634362 118.884801 84.488992
299: 100.665813 47.973111 97.868945
300: 116.130782 120.041050 26.772441
301: 95.808205 98.552027 69.024640
302: 46.640215 84.611051 74.888878
303: 102.272648 83.638460 129.331064
304: 120.183985 120.354011 84.935559
305: 83.204226 53.019649 92.485424
306: 79.226693 95.837228 90.501555
307: 124.450523 70.958682 42.509067
308: 78.734420 83.739592 107.321088
309: 76.343255 54.169892 112.914326
310: 106.889144 99.108072 107.825827
311: 126.482725 61.807175 62.676070
312: 111.242362 65.527673 64.216207
313: 86.261021 32.907874 91.052596
314: 103.501891 74.793098 55.918146
315: 64.757061 63.993289 60.230595
316: 47.947238 56.256365 122.173328
317: 93.249997 88.204742 65.525869
318: 68.409551 118.392821 21.745869
319: 99.966254 125.398673 133.616587
320: 51.034562 113.834424 103.191838
321: 99.173293 62.822017 92.795910
322: 70.407378 110.327276 145.432121
323: 93.254725 153.066717 70.058305
