Algorithm: FastMap
Target dimensions: 2
Pivots per dimension:
Dim 1: 53 88
Dim 2: 1 52
Object coordinates:
0: 132.517333 103.836835
1: 75.686546 0.000000
2: 49.532089 129.224623
3: 60.012109 72.619538
4: 104.982199 94.443186
5: 94.740880 48.909800
6: 63.165832 63.197432
7: 39.621481 98.521827
8: 120.169654 29.145869
9: 53.347793 71.171276
10: 84.807819 53.025861
11: 59.453828 78.384801
12: 61.858297 77.421316
13: 68.861703 84.102563
14: 133.011537 95.817728
15: 77.447742 96.299686
16: 91.979331 39.392757
17: 134.843858 98.130395
18: 66.723746 52.862429
19: 23.290370 63.991843
20: 120.691294 97.680605
21: 106.175981 46.599255
22: 120.830844 25.895873
23: 60.410661 98.608577
24: 88.737471 30.876045
25: 13.887016 50.018744
26: 133.845914 56.902285
27: 83.049677 85.311561
28: 25.486547 85.700215
29: 89.536277 61.291782
30: 84.452836 42.210782
31: 33.054652 46.430037
32: 92.063114 113.174786
33: 29.896461 49.587142
34: 38.125896 60.776541
35: 33.593207 26.620096
36: 153.028642 68.958892
37: 79.090182 90.951888
38: 24.332181 100.512245
39: 97.975311 109.573416
40: 112.554468 48.939997
41: 91.259611 101.150803
42: 42.214814 63.638968
43: 29.203618 111.398014
44: 54.669649 67.025049
45: 153.200216 92.518375
46: 42.092568 49.493440
47: 33.625855 41.006250
48: 91.412905 74.409671
49: 63.988171 82.326663
50: 111.174672 74.607975
51: 75.237245 128.605724
52: 65.310345 140.212988
53: 0.000000 66.237141
54: 66.758867 69.155589
55: 27.058380 53.209450
56: 84.028652 42.030115
57: 82.071517 129.508409
58: 53.438448 100.378522
59: 63.745681 71.546332
60: 66.709218 72.144884
61: 99.672668 60.799552
62: 100.139063 51.573834
63: 87.407027 55.601569
64: 45.285278 66.878516
65: 53.429070 122.422828
66: 117.899000 82.118127
67: 77.123844 99.842292
68: 67.080090 75.831225
69: 69.931115 93.579383
70: 129.177140 90.550617
71: 52.721467 103.195579
72: 51.963615 48.698101
73: 59.142172 111.592110
74: 142.391970 41.127794
75: 104.303836 84.969126
76: 83.578301 16.555143
77: 123.975779 45.180599
78: 71.188884 48.044616
79: 80.373594 91.738697
80: 76.553988 96.267865
81: 36.419935 82.853306
82: 57.402236 31.737329
83: 145.484411 78.660498
84: 48.852163 79.813539
85: 62.358771 58.084219
86: 80.498683 92.978405
87: 96.526240 65.669334
88: 165.870234 66.237141
89: 87.933438 104.861866
90: 106.631346 29.167674
91: 85.129858 57.873642
92: 121.298979 35.943944
93: 63.769683 98.000518
94: 41.169352 119.159700
95: 120.078740 56.579456
96: 79.003065 47.862047
97: 64.539358 110.844506
98: 74.960610 61.557349
99: 129.055220 63.047529
Execution time: 0.069700 ms
