Algorithm: FastMap
Target dimensions: 2
Pivots per dimension:
Dim 1: 6115 4085
Dim 2: 8062 7500
Object coordinates:
241: 147.174284 86.196583
242: 56.318354 122.089570
243: 49.278508 125.267419
244: 114.817226 105.128452
245: 76.164569 111.404247
246: 131.550133 52.205443
247: 115.162748 133.341845
248: 115.958073 97.469129
249: 119.149881 42.544081
250: 122.772296 105.008244
251: 107.999775 112.007032
252: 66.020589 82.443923
253: 88.434904 76.736087
254: 101.556452 115.611384
255: 108.573611 112.618462
256: 150.322508 127.005928
257: 51.818059 110.844863
258: 113.787981 67.728631
259: 121.285709 104.638525
260: 53.159957 65.522399
261: 110.005960 103.598263
262: 93.199717 122.380014
263: 97.180829 109.404639
264: 130.273208 108.102649
265: 88.783368 134.372467
266: 129.681522 114.919316
267: 108.299228 98.473535
268: 120.877628 142.541512
269: 98.926017 129.052594
270: 123.804779 98.234862
271: 136.751748 58.851687
272: 28.477363 107.749092
273: 74.016669 86.906026
274: 86.640082 63.995940
275: 108.508696 126.746940
276: 129.745480 72.789462
277: 85.033106 145.256249
278: 78.073663 125.441321
279: 24.414812 90.154549
280: 140.923152 103.217701
281: 65.961853 118.458461
282: 34.640226 77.347378
283: 75.649683 106.782503
284: 122.854946 102.238273
285: 139.224318 118.303243
286: 99.439711 94.248247
287: 50.330218 70.373047
288: 95.825118 142.143166
289: 52.373521 108.149125
290: 95.184906 96.590841
291: 94.835944 94.631749
292: 103.940130 66.175150
293: 83.633757 103.286660
294: 92.677794 76.026429
295: 85.532314 108.941867
296: 118.462236 59.759757
297: 104.400099 120.133193
298: 107.255109 90.519047
299: 169.349391 81.698327
300: 139.905371 46.970218
301: 54.612672 138.651337
302: 129.795359 55.571249
303: 90.554758 55.150168
304: 72.539516 79.747259
305: 108.788235 80.759152
306: 117.162647 91.366342
307: 64.370709 90.196484
308: 80.515570 70.244933
309: 57.622305 155.883329
310: 86.100077 93.636951
311: 94.622431 104.720517
312: 94.592369 75.404514
313: 67.897501 112.243158
314: 151.970705 111.598347
315: 124.118053 72.111052
316: 78.546782 134.398489
317: 99.025991 137.440390
318: 84.776020 116.483106
319: 78.718350 38.731369
320: 86.053903 60.463424
321: 120.362549 121.972847
322: 114.462504 85.861376
323: 59.850366 106.711258
324: 96.313076 127.084335
325: 148.765144 54.786010
326: 104.733111 118.617272
327: 131.902108 122.217537
328: 62.262276 79.704695
329: 179.758717 89.179218
330: 52.253200 137.162475
331: 118.536921 116.029483
332: 149.254335 116.698255
333: 139.810293 76.569639
334: 58.091989 41.544339
335: 121.248705 112.840383
336: 135.907929 131.030988
337: 86.775098 88.282419
338: 94.780981 126.893935
339: 93.043739 127.160334
340: 134.378381 116.823836
341: 88.968145 173.733936
342: 85.660349 87.396789
343: 74.541333 36.458507
344: 158.463071 76.136576
345: 131.746310 41.968701
346: 87.710557 41.485919
347: 128.040191 125.015979
348: 134.062030 88.156300
349: 68.127279 120.037269
350: 57.340409 77.350948
351: 83.751022 174.787171
352: 100.816755 111.156703
353: 105.273098 83.271777
354: 66.993327 126.065693
355: 121.136986 90.898102
356: 74.947437 92.809057
357: 99.702463 78.732608
358: 70.691656 149.429774
359: 121.690264 105.265747
360: 107.501701 113.632728
361: 105.400256 89.778388
362: 101.519489 151.256641
363: 72.161345 58.924186
364: 129.217748 97.770460
365: 114.765725 154.839081
366: 115.674891 92.691034
367: 127.407274 104.444460
368: 160.870126 115.571026
369: 100.007832 41.882886
370: 69.323610 43.720949
371: 103.240880 120.192405
372: 106.198930 150.959404
373: 57.961868 71.201141
374: 130.684352 132.451603
375: 96.536843 82.642248
376: 46.173417 119.303652
377: 99.490442 65.726238
378: 114.464205 91.344492
379: 57.983655 72.439102
380: 131.689694 92.466387
381: 101.937247 148.960545
382: 147.425405 59.633021
383: 86.549136 65.733412
384: 129.538506 54.345887
385: 106.068222 74.964175
386: 61.625538 125.422146
387: 92.382878 142.762567
388: 56.048929 123.114894
389: 79.220572 50.067846
390: 59.822552 103.030476
391: 91.537149 74.273319
392: 88.170159 24.946037
393: 58.762141 79.818455
394: 93.767281 107.817921
395: 108.442288 139.545153
396: 44.367847 113.758058
397: 102.009729 86.042669
398: 108.652208 127.749378
399: 45.069885 52.505644
400: 74.336726 81.615899
401: 115.220705 152.126999
402: 61.910546 121.581501
403: 98.575403 130.591648
404: 151.982886 92.486925
405: 98.324066 82.070111
406: 64.988269 142.093548
407: 71.351567 81.976011
408: 47.784250 79.396595
409: 73.112874 115.916220
410: 135.462225 71.213656
411: 99.010394 85.368667
412: 102.581503 75.930855
413: 123.219830 84.912546
414: 152.053937 93.534363
415: 107.188532 112.747391
416: 118.349568 84.288532
417: 78.126506 54.155433
418: 91.709482 78.766973
419: 73.831597 80.987614
420: 134.301876 77.038322
421: 89.022682 92.166984
422: 114.614450 102.497001
423: 39.968877 105.974031
424: 84.303978 42.414912
425: 124.384134 101.959460
426: 98.292834 141.434479
427: 35.008245 72.831638
428: 110.506230 136.095362
429: 124.797886 115.931208
430: 115.471137 40.720959
431: 64.989386 122.502937
432: 119.866286 90.435504
433: 55.297180 75.907245
434: 129.653658 124.187143
435: 100.860943 83.569112
436: 76.530786 98.549540
437: 97.938310 63.631876
438: 121.708090 123.550484
439: 108.813195 48.238469
440: 133.545476 132.016228
441: 104.546989 134.627005
442: 80.060551 64.374359
443: 52.056953 131.291786
444: 89.565970 47.141721
445: 48.216709 61.450665
446: 112.016006 138.109861
447: 78.872343 105.087622
448: 121.542064 103.730884
449: 132.616409 74.057348
450: 132.681692 76.000407
451: 143.466445 90.144122
452: 109.141196 78.983459
453: 103.467576 104.016499
454: 165.009767 123.687258
455: 146.813343 97.253813
456: 100.852868 118.461364
457: 88.024151 64.921734
458: 55.233097 94.322030
459: 142.476756 126.312132
460: 39.121061 122.613873
461: 85.138545 141.660424
462: 135.692488 57.571833
463: 118.349860 99.312921
464: 120.538117 65.766858
465: 162.720310 122.929746
466: 152.189072 71.573917
467: 27.486500 70.267390
468: 92.944242 134.274376
469: 100.769186 71.135343
470: 58.423190 83.527293
471: 100.517047 43.700086
472: 94.449937 80.569600
473: 126.249548 102.066553
474: 80.048542 145.036390
475: 112.014251 61.765041
476: 92.644001 111.921571
477: 85.697732 90.613563
478: 117.714736 107.276693
479: 114.554803 107.341599
480: 124.781405 68.640774
481: 76.363152 79.426804
482: 102.347532 73.350031
483: 89.130340 92.686388
484: 87.093838 65.570575
485: 134.097472 118.555068
486: 115.887686 84.320611
487: 72.039940 58.920406
488: 132.138233 69.666762
489: 117.519065 76.877560
490: 105.479417 58.270460
491: 90.345027 86.740503
492: 120.376349 89.914646
493: 49.842493 82.647115
494: 116.924746 134.950761
495: 100.779470 127.764192
496: 106.398548 78.818239
497: 118.600949 97.326216
498: 118.422979 91.689412
499: 92.334094 106.968738
500: 124.888130 70.350525
501: 66.722997 129.235723
502: 104.498727 118.496790
503: 112.735105 121.027401
504: 80.149895 130.523109
505: 120.479515 61.069292
506: 121.712710 115.166837
507: 42.223032 126.336453
508: 64.835306 67.925696
509: 107.547861 96.939091
510: 60.547954 49.684660
511: 121.221484 98.816672
512: 95.345688 70.164618
513: 99.981482 89.719273
514: 110.131252 98.000164
515: 148.144619 88.466277
516: 108.213726 92.998990
517: 93.493028 84.510326
518: 55.831476 134.935253
519: 120.914316 139.549618
520: 84.532823 109.175466
521: 99.411203 131.517954
522: 96.952405 60.692053
523: 90.713649 80.534968
524: 147.086230 96.695809
525: 102.478283 92.621031
526: 106.754177 128.667127
527: 90.276120 88.678474
528: 85.275674 134.011134
529: 121.381800 127.903814
