Algorithm: FastMap
Target dimensions: 2
Pivots per dimension:
Dim 1: 560 388
Dim 2: 17 344
Object coordinates:
0: 133.595600 138.203906
1: 46.459750 85.248784
2: 59.383523 77.223591
3: 91.855442 81.536241
4: 89.951255 82.688613
5: 162.121919 121.829624
6: 62.045641 86.739012
7: 70.937464 103.809062
8: 56.256510 109.425978
9: 89.509790 55.453087
10: 72.643083 113.216370
11: 132.696766 51.130641
12: 59.942371 93.259123
13: 82.714653 79.399284
14: 119.426155 138.177993
15: 112.504988 72.000671
16: 118.109809 104.068562
17: 79.709369 0.000000
18: 52.647911 80.756171
19: 74.829100 77.866389
20: 54.457952 63.498101
21: 88.445726 43.998749
22: 114.628398 144.115619
23: 78.049782 90.008036
24: 98.914230 89.172759
25: 66.205632 106.223620
26: 159.507039 79.053113
27: 112.976293 44.282928
28: 132.583234 113.836291
29: 83.763016 98.769853
30: 66.649977 90.485831
31: 130.343260 159.794199
32: 105.542187 75.779364
33: 97.400029 105.401280
34: 104.362223 44.862852
35: 95.671458 135.332661
36: 91.466987 88.435839
37: 97.732766 120.884857
38: 73.010510 149.925015
39: 77.460119 64.210867
40: 96.843707 101.044913
41: 64.582468 86.630181
42: 65.019664 101.497774
43: 125.281243 28.347321
44: 116.104649 41.632906
45: 139.911429 75.471098
46: 53.255661 101.325141
47: 41.821597 72.810477
48: 82.448870 128.653808
49: 82.595260 56.176693
50: 81.356484 71.965910
51: 57.417023 140.416611
52: 90.239360 94.414149
53: 90.958381 128.455961
54: 87.825930 112.899719
55: 87.940087 113.709460
56: 61.857500 122.535406
57: 64.200822 93.537138
58: 117.679131 134.610375
59: 93.977356 51.999347
60: 64.727406 140.782161
61: 117.762971 81.939712
62: 92.683937 27.968661
63: 68.957370 42.848773
64: 83.359389 75.742981
65: 65.287282 119.132731
66: 72.681291 106.821700
67: 77.971795 74.159407
68: 127.416069 48.113312
69: 78.503864 143.704273
70: 102.420726 82.749249
71: 85.929448 35.428232
72: 81.512287 123.459456
73: 50.358737 96.965498
74: 111.279195 124.741824
75: 78.479728 95.263257
76: 17.194098 119.258289
77: 91.747549 82.681276
78: 68.556078 58.816397
79: 117.056570 106.151894
80: 82.172395 136.942933
81: 123.288471 126.048415
82: 99.612571 57.931772
83: 111.234565 77.378482
84: 66.814857 73.028363
85: 141.030059 31.641002
86: 74.154559 73.743208
87: 93.145172 85.994919
88: 113.446210 88.139554
89: 126.463998 89.091652
90: 49.298149 47.807082
91: 135.915275 42.020929
92: 106.372476 100.896584
93: 79.455455 160.596584
94: 130.787417 103.548431
95: 103.603788 38.285542
96: 103.217124 73.408661
97: 69.958902 71.876573
98: 30.641682 121.076418
99: 55.902137 60.555909
100: 121.270624 115.092298
101: 72.959452 83.695010
102: 70.063658 102.681824
103: 58.829058 90.557946
104: 89.434083 88.385337
105: 54.482066 95.189632
106: 66.074194 98.383393
107: 102.896611 102.756589
108: 11.550017 99.612716
109: 74.446112 40.529487
110: 90.222804 58.162125
111: 112.513150 75.127105
112: 73.639601 56.668277
113: 84.316462 92.646231
114: 44.812643 104.633262
115: 141.361797 79.046311
116: 109.378502 123.435027
117: 84.308467 79.065923
